FCID,Brand,Category,SubCategory,Processor,FormFactor,Mounting_mm,SupportedFirmware,IMU,Barometer,OSD,Blackbox,ESCInterface,ConnectorType,SupportedDroneType,IntendedUse
FC-0334,BetaFPV,Flight Controller,FC Board,H743,AIO,20x20,ArduPilot,ICM42688,No,Yes,None,DShot300,JST,FPV,Cinematic FPV
FC-0335,BetaFPV,Flight Controller,FC Board,F405,Whoop FC,16x16,INAV,BMI270,No,Yes,32MB,DShot1200,Plug,FPV,Racing FPV
FC-0336,SpeedyBee,Flight Controller,FC Board,F405,Whoop FC,30x30,Betaflight,BMI270,Yes,Yes,None,PWM,Direct Solder,FPV,Racing FPV
FC-0337,AxisFlying,Flight Controller,FC Board,F765,Mini FC,20x20,INAV,ICM42688,Yes,Yes,None,PWM,Plug,FPV,Long Range FPV
FC-0338,GEPRC,Flight Controller,FC Board,F722,AIO,16x16,Betaflight,ICM20689,No,Yes,64MB,PWM,Plug,FPV,Freestyle FPV
FC-0339,SpeedyBee,Flight Controller,FC Board,F722,Whoop FC,25.5x25.5,Betaflight,ICM42688,No,Yes,64MB,PWM,JST,FPV,Cinematic FPV
FC-0340,Skystars,Flight Controller,FC Board,F722,Whoop FC,20x20,INAV,ICM20689,No,Yes,None,DShot600,JST,FPV,Cinematic FPV
FC-0341,iFlight,Flight Controller,FC Board,F405,AIO,30x30,ArduPilot,ICM20689,No,Yes,16MB,DShot1200,JST,FPV,Racing FPV
FC-0342,Holybro,Flight Controller,FC Board,F411,Mini FC,30x30,Betaflight,ICM42688,Yes,Yes,64MB,PWM,JST,Industrial,Industrial UAV
FC-0343,BetaFPV,Flight Controller,FC Board,F765,Whoop FC,16x16,INAV,ICM20689,Yes,Yes,64MB,PWM,Plug,Industrial,Industrial UAV
FC-0344,Foxeer,Flight Controller,FC Board,F722,AIO,30x30,Betaflight,MPU6000,No,Yes,64MB,PWM,Direct Solder,FPV,Freestyle FPV
FC-0345,RushFPV,Flight Controller,FC Board,F765,Stack FC,25.5x25.5,INAV,BMI270,No,Yes,16MB,DShot600,Direct Solder,FPV,Long Range FPV
FC-0346,SpeedyBee,Flight Controller,FC Board,F745,Whoop FC,30x30,ArduPilot,ICM42688,Yes,Yes,64MB,DShot1200,JST,FPV,Cinematic FPV
FC-0347,Holybro,Flight Controller,FC Board,F405,AIO,30x30,ArduPilot,MPU6000,No,Yes,16MB,PWM,Plug,FPV,Racing FPV
FC-0348,GEPRC,Flight Controller,FC Board,F745,Mini FC,16x16,ArduPilot,ICM42688,No,Yes,64MB,DShot600,JST,FPV,Freestyle FPV
FC-0349,RushFPV,Flight Controller,FC Board,F765,AIO,16x16,ArduPilot,ICM20689,Yes,Yes,None,PWM,JST,Industrial,Industrial UAV
FC-0350,SpeedyBee,Flight Controller,FC Board,F765,Whoop FC,20x20,ArduPilot,MPU6000,Yes,Yes,None,DShot300,Direct Solder,FPV,Cinematic FPV
FC-0351,iFlight,Flight Controller,FC Board,H743,AIO,30x30,INAV,ICM42688,No,Yes,None,PWM,Plug,Industrial,Industrial UAV
FC-0352,HGLRC,Flight Controller,FC Board,H743,AIO,20x20,Betaflight,ICM42688,Yes,Yes,16MB,DShot1200,Direct Solder,FPV,Long Range FPV
FC-0353,BetaFPV,Flight Controller,FC Board,F722,Stack FC,30x30,INAV,ICM20689,Yes,Yes,None,PWM,Direct Solder,Industrial,Industrial UAV
FC-0354,iFlight,Flight Controller,FC Board,F722,Stack FC,25.5x25.5,INAV,ICM20689,Yes,Yes,32MB,DShot300,Direct Solder,FPV,Freestyle FPV
FC-0355,HGLRC,Flight Controller,FC Board,F411,Mini FC,20x20,Betaflight,ICM42688,No,Yes,32MB,DShot300,JST,FPV,Cinematic FPV
FC-0356,EMAX,Flight Controller,FC Board,F745,Whoop FC,16x16,ArduPilot,ICM20689,No,Yes,16MB,DShot600,JST,FPV,Freestyle FPV
FC-0357,RushFPV,Flight Controller,FC Board,H743,Whoop FC,16x16,INAV,ICM20689,Yes,Yes,32MB,DShot300,Plug,Industrial,Industrial UAV
FC-0358,Holybro,Flight Controller,FC Board,F411,Mini FC,16x16,Betaflight,ICM20689,Yes,Yes,None,DShot600,Plug,Industrial,Industrial UAV
FC-0359,HGLRC,Flight Controller,FC Board,H743,Whoop FC,25.5x25.5,Betaflight,ICM20689,Yes,Yes,None,PWM,Direct Solder,FPV,Racing FPV
FC-0360,RushFPV,Flight Controller,FC Board,F745,Mini FC,25.5x25.5,ArduPilot,BMI270,No,Yes,32MB,DShot1200,Direct Solder,FPV,Freestyle FPV
FC-0361,Diatone,Flight Controller,FC Board,F411,Mini FC,30x30,INAV,MPU6000,No,Yes,32MB,DShot600,Direct Solder,FPV,Long Range FPV
FC-0362,Flywoo,Flight Controller,FC Board,H743,Mini FC,30x30,ArduPilot,BMI270,No,Yes,32MB,DShot600,Direct Solder,FPV,Cinematic FPV
FC-0363,GEPRC,Flight Controller,FC Board,F722,Mini FC,20x20,INAV,BMI270,Yes,Yes,16MB,PWM,JST,FPV,Long Range FPV
FC-0364,EMAX,Flight Controller,FC Board,F765,AIO,25.5x25.5,INAV,BMI270,No,Yes,16MB,PWM,JST,FPV,Freestyle FPV
FC-0365,Matek,Flight Controller,FC Board,F745,AIO,25.5x25.5,Betaflight,MPU6000,Yes,Yes,16MB,PWM,Direct Solder,FPV,Freestyle FPV
FC-0366,BetaFPV,Flight Controller,FC Board,F411,AIO,16x16,Betaflight,ICM20689,No,Yes,64MB,DShot300,Direct Solder,FPV,Racing FPV
FC-0367,Flywoo,Flight Controller,FC Board,F745,Stack FC,16x16,Betaflight,ICM20689,Yes,Yes,64MB,DShot1200,JST,FPV,Freestyle FPV
FC-0368,Diatone,Flight Controller,FC Board,F765,Mini FC,16x16,INAV,MPU6000,Yes,Yes,16MB,PWM,JST,FPV,Cinematic FPV
FC-0369,Matek,Flight Controller,FC Board,H743,Mini FC,20x20,ArduPilot,ICM42688,Yes,Yes,32MB,DShot300,Direct Solder,FPV,Long Range FPV
FC-0370,iFlight,Flight Controller,FC Board,F765,Whoop FC,20x20,ArduPilot,MPU6000,Yes,Yes,32MB,DShot600,Plug,FPV,Racing FPV
FC-0371,HGLRC,Flight Controller,FC Board,F722,Mini FC,30x30,Betaflight,ICM42688,No,Yes,64MB,DShot300,Direct Solder,FPV,Cinematic FPV
FC-0372,HGLRC,Flight Controller,FC Board,F745,Mini FC,30x30,ArduPilot,BMI270,Yes,Yes,64MB,DShot300,Direct Solder,FPV,Long Range FPV
FC-0373,Diatone,Flight Controller,FC Board,F405,Mini FC,25.5x25.5,INAV,MPU6000,Yes,Yes,None,DShot300,Plug,FPV,Freestyle FPV
FC-0374,GEPRC,Flight Controller,FC Board,F405,Stack FC,16x16,INAV,BMI270,No,Yes,None,DShot300,Direct Solder,FPV,Freestyle FPV
FC-0375,Flywoo,Flight Controller,FC Board,H743,Whoop FC,30x30,Betaflight,ICM42688,Yes,Yes,None,DShot300,Plug,Industrial,Industrial UAV
FC-0376,Foxeer,Flight Controller,FC Board,F745,Mini FC,30x30,Betaflight,BMI270,No,Yes,None,DShot1200,JST,FPV,Cinematic FPV
FC-0377,Matek,Flight Controller,FC Board,F405,Whoop FC,30x30,Betaflight,BMI270,No,Yes,32MB,DShot300,JST,Industrial,Industrial UAV
FC-0378,AxisFlying,Flight Controller,FC Board,F411,Mini FC,16x16,Betaflight,ICM42688,Yes,Yes,16MB,DShot600,Plug,FPV,Cinematic FPV
FC-0379,Flywoo,Flight Controller,FC Board,F722,Mini FC,16x16,Betaflight,ICM42688,Yes,Yes,64MB,PWM,Direct Solder,FPV,Long Range FPV
FC-0380,Flywoo,Flight Controller,FC Board,H743,Whoop FC,30x30,INAV,MPU6000,Yes,Yes,32MB,DShot300,JST,FPV,Freestyle FPV
