VTXID,Brand,Category,SubCategory,VideoSystem,FrequencyBand,OutputPower_mW,ChannelCount,InputVoltage,AntennaConnector,ControlProtocol,MountPattern_mm,AntennaType,SupportedDroneType,IntendedUse
VTX-0338,HGLRC,Video Transmitter,FPV VTX,HDZero,2.4GHz,200,24,3-6S,SMA,SmartAudio,30x30,Linear,FPV,Freestyle FPV
VTX-0339,Eachine,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,400,8,5V,MMCX,SmartAudio,30x30,LHCP,FPV,Long Range FPV
VTX-0340,Eachine,Video Transmitter,FPV VTX,Walksnail,2.4GHz,1000,32,5V,MMCX,None,30x30,RHCP,Industrial,Industrial UAV
VTX-0341,GEPRC,Video Transmitter,FPV VTX,DJI O3 Compatible,1.3GHz,100,40,2-6S,RP-SMA,MSP,30x30,LHCP,FPV,Racing FPV
VTX-0342,SpeedyBee,Video Transmitter,FPV VTX,HD Digital,2.4GHz,200,40,2-6S,U.FL,SmartAudio,30x30,RHCP,FPV,Racing FPV
VTX-0343,GEPRC,Video Transmitter,FPV VTX,Walksnail,5.8GHz,500,24,7-26V,SMA,None,Whoop,Circular,Industrial,Industrial UAV
VTX-0344,Foxeer,Video Transmitter,FPV VTX,Analog,5.8GHz,1000,40,2-6S,SMA,Tramp,20x20,Circular,FPV,Freestyle FPV
VTX-0345,HGLRC,Video Transmitter,FPV VTX,HDZero,5.8GHz,25,8,2-6S,RP-SMA,SmartAudio,Whoop,Linear,Industrial,Industrial UAV
VTX-0346,iFlight,Video Transmitter,FPV VTX,HDZero,1.3GHz,200,8,2-6S,RP-SMA,None,30x30,RHCP,FPV,Long Range FPV
VTX-0347,iFlight,Video Transmitter,FPV VTX,DJI O3 Compatible,5.8GHz,800,16,5V,MMCX,MSP,30x30,LHCP,FPV,Long Range FPV
VTX-0348,Walksnail,Video Transmitter,FPV VTX,Analog,1.3GHz,1600,32,5V,RP-SMA,MSP,Whoop,RHCP,FPV,Long Range FPV
VTX-0349,Diatone,Video Transmitter,FPV VTX,HD Digital,2.4GHz,200,16,3-6S,SMA,SmartAudio,20x20,RHCP,FPV,Racing FPV
VTX-0350,Walksnail,Video Transmitter,FPV VTX,DJI O3 Compatible,2.4GHz,25,8,5V,SMA,Tramp,30x30,LHCP,FPV,Cinematic FPV
